"File","DevelopmentSHA256","EpicSHA256","Equal"
"Ship\Hades2.exe","DB88529B0961C41763413FC676762B9AC05CD22F9547A9305E0B629B30F2EE74","DB88529B0961C41763413FC676762B9AC05CD22F9547A9305E0B629B30F2EE74","True"
"Ship\lua52.dll","B02578A62C6F74A5D3D9246BD18CB4C546E2968BA6557732CCDD5B81FBD2053F","B02578A62C6F74A5D3D9246BD18CB4C546E2968BA6557732CCDD5B81FBD2053F","True"
"Content\Scripts\AchievementData.lua","5B0BB732A8A961B45D284FF2B0A25BBBFF820FEB59EF5AE3A194EB93015F2C68","5B0BB732A8A961B45D284FF2B0A25BBBFF820FEB59EF5AE3A194EB93015F2C68","True"
"Content\Scripts\AchievementLogic.lua","057E0BD8B4F7D7270740EC8C7470C6B5DCBE2D232C6BC7789A4D018AD6516529","057E0BD8B4F7D7270740EC8C7470C6B5DCBE2D232C6BC7789A4D018AD6516529","True"
"Content\Scripts\AllyData.lua","AD323FCB4AD32801DFC07350E523E334660F5BD181C5D4FC08BC85E6F8989C76","AD323FCB4AD32801DFC07350E523E334660F5BD181C5D4FC08BC85E6F8989C76","True"
"Content\Scripts\AmmoLogic.lua","83A0AAC5C994AFE9B338EE9FB5D876436996A7DCF63640A7F11EF2FF90A7482B","83A0AAC5C994AFE9B338EE9FB5D876436996A7DCF63640A7F11EF2FF90A7482B","True"
"Content\Scripts\AudioData.lua","F99B4D9598E6BE466EADBB1CD05D44EDAAE34C158D1F547CA2F01A368FC5A7AB","F99B4D9598E6BE466EADBB1CD05D44EDAAE34C158D1F547CA2F01A368FC5A7AB","True"
"Content\Scripts\AudioLogic.lua","24F1A827D15310FDDB8BF551FDE255537BD7D42242C1D094BB0931189B56A62B","24F1A827D15310FDDB8BF551FDE255537BD7D42242C1D094BB0931189B56A62B","True"
"Content\Scripts\AudioPresentation.lua","B68BFE5950A7A528A185B8159A411F52DCCA8D3C6EF1998B4D70B6B68746D095","B68BFE5950A7A528A185B8159A411F52DCCA8D3C6EF1998B4D70B6B68746D095","True"
"Content\Scripts\BadgeData.lua","540387223E2DDDB546C237784651A56939E02F2E0BABFA6CEAC59EA42CB4B664","540387223E2DDDB546C237784651A56939E02F2E0BABFA6CEAC59EA42CB4B664","True"
"Content\Scripts\BadgeLogic.lua","C4CA8C49EFE883C7B2DA487F54966C75142CC97E7335821816F7CD0A6422C484","C4CA8C49EFE883C7B2DA487F54966C75142CC97E7335821816F7CD0A6422C484","True"
"Content\Scripts\BadgePresentation.lua","7CD7B426E5B2EAED981EC304A3C162A5F5C35BC98444357B8F12D0B4137CE385","7CD7B426E5B2EAED981EC304A3C162A5F5C35BC98444357B8F12D0B4137CE385","True"
"Content\Scripts\BiomeMapPresentation.lua","6CFD39A60181ECEF3FB19C700246166AE8C40EE2494EEEE636CD5611A657D6E2","6CFD39A60181ECEF3FB19C700246166AE8C40EE2494EEEE636CD5611A657D6E2","True"
"Content\Scripts\BiomeStateData.lua","616347A28F8BDFE8A15A52AC2810E96196EF3DF9CBA65AA3DDAD33DC0FD7ED50","616347A28F8BDFE8A15A52AC2810E96196EF3DF9CBA65AA3DDAD33DC0FD7ED50","True"
"Content\Scripts\BiomeStateLogic.lua","14DEF8A4899B9DFF93C35D75151BDC7013DA0BC7745FB216397652CABFCFDB8E","14DEF8A4899B9DFF93C35D75151BDC7013DA0BC7745FB216397652CABFCFDB8E","True"
"Content\Scripts\BiomeStatePresentation.lua","E676D30D31D8A7920138F0FF8D63385E8E1AAF7521C8E8098C6BBB2001B5FEF5","E676D30D31D8A7920138F0FF8D63385E8E1AAF7521C8E8098C6BBB2001B5FEF5","True"
"Content\Scripts\BoonInfoData.lua","0D710CA75B3FA1A38BEE3C279FF6A7D88025DE2BA17EC4BCDA6D1A44EDDE2A1E","0D710CA75B3FA1A38BEE3C279FF6A7D88025DE2BA17EC4BCDA6D1A44EDDE2A1E","True"
"Content\Scripts\BoonInfoLogic.lua","8C15DEE531E00AE64C4643E094698B5D89D6EAB53C29FD22FD782C8B72E1397E","8C15DEE531E00AE64C4643E094698B5D89D6EAB53C29FD22FD782C8B72E1397E","True"
"Content\Scripts\BountyData.lua","FAB4E166A8085B043FBF93D921EFE4B9244316CD41C808781785968E9953CD81","FAB4E166A8085B043FBF93D921EFE4B9244316CD41C808781785968E9953CD81","True"
"Content\Scripts\BountyLogic.lua","CE7B7A9DD00F829995F6A4DAD245D0D9D7A8A914ADAF766FB048506243D508D2","CE7B7A9DD00F829995F6A4DAD245D0D9D7A8A914ADAF766FB048506243D508D2","True"
"Content\Scripts\BountyPresentation.lua","2CFC5D6B534AD630E10E1E574EEF59A4E1DE655170D60EEF30A777BBFE42436A","2CFC5D6B534AD630E10E1E574EEF59A4E1DE655170D60EEF30A777BBFE42436A","True"
